Original Order,Name,Title,Company,Youtube URL
341,Jeremy Burton,CMO,Dell,https://www.youtube.com/watch?v=O7dYr7XP_dA
343,Laura Ipsen,GM and SVP of Oracle Marketing Cloud,Oracle,https://www.youtube.com/watch?v=EsYl_Txwhac
344,Kristen O'Hara,Chief Marketing Officer for Global Media,Time Warner,https://www.youtube.com/watch?v=EsYl_Txwhac
345,Brian Goldfarb,CMO,Splunk,https://www.youtube.com/watch?v=iOAvU3tx8hE
349,Itamar Ankorion,CMO,Attunity,https://www.youtube.com/watch?v=kwGYo8anwjw
350,Ben Parr,Co-Founder & CMO,Octane AI,https://www.youtube.com/watch?v=riKER3eQixs
351,Manish Gupta,Chief Marketing Officer,Redis Labs,https://www.youtube.com/watch?v=gCaYy-kYSeA
352,David Gee,CMO,Zuora,https://www.youtube.com/watch?v=cuoWZKkBhX8
353,Bobby Patrick,CMO,HPE Cloud,https://www.youtube.com/watch?v=RULJUGmz44k
354,Randy Arseneau,CMO,INFINIDAT,https://www.youtube.com/watch?v=Eg3NCDVAITs
358,Marie Hattar,CMO,Ixia,https://www.youtube.com/watch?v=22sAY8oHcBo
361,Steve Pao,CMO,Igneous Systems,https://www.youtube.com/watch?v=cVhBBBLGFb8
369,Randy Arsenau,CMO,INFINIDAT,https://www.youtube.com/watch?v=Xm4Y2hpkMv0
370,Steve Kenniston,VP of Product Marketing,INFINIDAT,https://www.youtube.com/watch?v=Xm4Y2hpkMv0
