Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
86,Andy Hurt,Chief Marketing Officer,Cobalt Iron,https://www.youtube.com/watch?v=5dZjNUGXWJ0,https://www.cobaltiron.com/,https://www.cobaltiron.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Andy%20Hurt%20Cobalt%20Iron,no,,
87,Jennifer Johnson (JJ),Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=smKbeTv-zoQ,https://www.crowdstrike.com/en-us/,https://www.crowdstrike.com/en-us/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jennifer%20Johnson%20%28JJ%29%20CrowdStrike,no,,
88,Jon Toor,Chief Marketing Officer,Cloudian,https://www.youtube.com/watch?v=V5WnpOpa3ms,,Company website not found - manual research required,not_found,low,https://www.linkedin.com/search/results/all/?keywords=Jon%20Toor%20Cloudian,no,,
89,Bobby Patrick,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=dUPuYKVOeWM,https://www.uipath.com/,https://www.uipath.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Bobby%20Patrick%20UiPath,no,,
90,Thomas Cornely,SVP Product Management,Nutanix,https://www.youtube.com/watch?v=v_Pez3nFY08,https://www.nutanix.com/,https://www.nutanix.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Thomas%20Cornely%20Nutanix,no,,
91,Tarkan Maner,Chief Commercial Officer,Nutanix,https://www.youtube.com/watch?v=goRuYv7mcC0,https://www.nutanix.com/,https://www.nutanix.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Tarkan%20Maner%20Nutanix,no,,
92,Justin Boitano,VP Enterprise AI,Nvidia,https://www.youtube.com/watch?v=goRuYv7mcC0,https://www.nvidia.com/en-in/,https://www.nvidia.com/en-in/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Justin%20Boitano%20Nvidia,no,,
93,Denise Persson,Chief Marketing Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM,https://www.snowflake.com/en/,https://www.snowflake.com/en/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Denise%20Persson%20Snowflake,no,,
94,Mike Gannon,Chief Revenue Officer,Snowflake,https://www.youtube.com/watch?v=T5tC_x6VkkM,https://www.snowflake.com/en/,https://www.snowflake.com/en/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Mike%20Gannon%20Snowflake,no,,
95,Chris Powell,Chief Marketing Officer,Qlik,https://www.youtube.com/watch?v=tWk07LzBMOI,https://www.qlik.com/us,https://www.qlik.com/us,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Chris%20Powell%20Qlik,no,,
